cn,indeg_in_subgraph,depth,arxiv_id,doi,inspire_url,title
834212,11,2,0910.3108,10.1142/S0217732309001121,https://inspirehep.net/literature/834212,"Renormalization-group anatomy of transverse-momentum dependent parton distribution functions in QCD"
834244,11,2,0910.3181,10.1142/S0217732309001200,https://inspirehep.net/literature/834244,"Insights on non-perturbative aspects of TMDs from models"
710438,11,3,hep-ph/0602103,10.1103/PhysRevD.73.114002,https://inspirehep.net/literature/710438,"Monte Carlo simulation of single spin asymmetries in pion-proton collisions"
759947,11,3,0709.0614,10.1140/epjc/s10052-007-0462-9,https://inspirehep.net/literature/759947,"Dynamical parton distributions of the nucleon and very small-x physics"
810028,11,3,0809.4283,10.1140/epjc/s10052-009-1030-2,https://inspirehep.net/literature/810028,"Renormalization-Group Improved Prediction for Higgs Production at Hadron Colliders"
699940,11,4,hep-ph/0512095,10.1140/epjc/s2006-02490-1,https://inspirehep.net/literature/699940,"Transversity and its accompanying T-odd distribution from Drell-Yan processes with pion-proton collisions"
747425,11,4,hep-ph/0703293,"",https://inspirehep.net/literature/747425,"Colour modification of effective T-odd distributions"
863740,11,4,1007.5469,10.1103/PhysRevC.82.034913,https://inspirehep.net/literature/863740,"Triangular flow in hydrodynamics and transport theory"
825956,10,1,0907.2942,10.1088/1126-6708/2009/11/093,https://inspirehep.net/literature/825956,"What can break the Wandzura-Wilczek relation?"
686244,10,2,hep-ph/0506308,10.1016/j.nuclphysa.2005.11.014,https://inspirehep.net/literature/686244,"The Color glass condensate and hadron production in the forward region"
783431,10,2,0804.2408,10.1016/j.nuclphysb.2008.06.011,https://inspirehep.net/literature/783431,"Angular dependences in inclusive two-hadron production at BELLE"
817105,10,2,0904.0410,10.1103/PhysRevD.79.094010,https://inspirehep.net/literature/817105,"Next-to-leading Order Calculation of the Single Transverse Spin Asymmetry in the Drell-Yan Process"
830565,10,2,0909.1404,10.1103/PhysRevD.80.074032,https://inspirehep.net/literature/830565,"Analyzing the Boer-Mulders function within different quark models"
845672,10,2,1002.2213,10.1007/JHEP09(2010)005,https://inspirehep.net/literature/845672,"The Quark Beam Function at NNLL"
790844,10,3,0807.2480,10.1140/epjc/s10052-008-0806-0,https://inspirehep.net/literature/790844,"Transversity and T-odd PDFs from Drell-Yan processes with p p, p D and D D collisions"
849885,10,3,1003.4549,10.1103/PhysRevLett.105.262002,https://inspirehep.net/literature/849885,"Measurement of Single and Double Spin Asymmetries in Deep Inelastic Pion Electroproduction with a Longitudinally Polarized Target"
943429,10,3,1110.6428,10.1103/PhysRevD.85.034043,https://inspirehep.net/literature/943429,"The QCD Evolution of the Sivers Function"
735722,10,4,hep-ph/0612350,10.1140/epjc/s10052-006-0174-6,https://inspirehep.net/literature/735722,"The cos 2 phi asymmetry of Drell-Yan and J/psi production in unpolarized p anti-p scattering"
805783,9,1,0812.3783,10.1103/PhysRevLett.102.172003,https://inspirehep.net/literature/805783,"Partonic pole matrix elements for fragmentation"
815159,9,2,0903.1886,10.1103/PhysRevD.79.094028,https://inspirehep.net/literature/815159,"Transverse momentum distributions of quarks in the nucleon from the Chiral Quark Soliton Model"
787911,9,3,0806.1932,10.1016/j.physletb.2008.08.045,https://inspirehep.net/literature/787911,"Single Spin Asymmetries in Heavy Quark and Antiquark Productions"
793605,9,3,0808.3008,10.1103/PhysRevD.79.033013,https://inspirehep.net/literature/793605,"Origin of the Large Perturbative Corrections to Higgs Production at Hadron Colliders"
902334,9,3,1106.0139,10.1103/PhysRevD.84.014015,https://inspirehep.net/literature/902334,"Quark Wigner Distributions and Orbital Angular Momentum"
926682,9,3,1109.1354,10.1103/PhysRevD.84.094005,https://inspirehep.net/literature/926682,"Gluon Distribution Functions and Higgs Boson Production at Moderate Transverse Momentum"
929848,9,3,1109.6027,10.1007/JHEP02(2012)124,https://inspirehep.net/literature/929848,"Electroweak Gauge-Boson Production at Small $q_T$: Infrared Safety from the Collinear Anomaly"
679958,9,4,hep-ex/0504011,10.1007/BF03031992,https://inspirehep.net/literature/679958,"Spin physics with antiprotons"
777211,9,4,0801.1665,10.1103/PhysRevC.77.064907,https://inspirehep.net/literature/777211,"Quantitative Constraints on the Opacity of Hot Partonic Matter from Semi-Inclusive Single High Transverse Momentum Pion Suppression in Au+Au collisions at s(NN)**(1/2) = 200-GeV"
836929,9,4,0911.2710,10.1103/PhysRevD.80.111107,https://inspirehep.net/literature/836929,"Determination of the strong coupling constant from the inclusive jet cross section in $p\bar{p}$ collisions at sqrt(s)=1.96 TeV"
831002,8,2,0909.2238,10.1103/PhysRevD.81.054008,https://inspirehep.net/literature/831002,"Transverse momentum dependent quark distributions and polarized Drell-Yan processes"
838580,8,2,0912.0244,10.1103/PhysRevC.81.034911,https://inspirehep.net/literature/838580,"Detailed measurement of the $e^+ e^-$ pair continuum in $p+p$ and Au+Au collisions at $\sqrt{s_{NN}} = 200$ GeV and implications for direct photon production"
839513,8,2,0912.2031,10.1103/PhysRevD.81.034023,https://inspirehep.net/literature/839513,"Updating Boer-Mulders functions from unpolarized pd and pp Drell-Yan data"
893265,8,2,1103.3861,10.1103/PhysRevLett.107.062001,https://inspirehep.net/literature/893265,"Probing Gluonic Spin-Orbit Correlations in Photon Pair Production"
743460,8,3,hep-ph/0701255,10.1103/PhysRevD.75.014026,https://inspirehep.net/literature/743460,"Transverse spin effects of sea quarks in unpolarized nucleons"
789859,8,3,0807.0503,10.1103/PhysRevD.78.034035,https://inspirehep.net/literature/789859,"cos(2phi) asymmetries in unpolarized semi-inclusive DIS"
793861,8,3,0808.3629,10.1103/PhysRevD.78.114008,https://inspirehep.net/literature/793861,"Hyperon Polarization in Unpolarized Scattering Processes"
897700,8,3,1104.5651,10.1103/PhysRevD.84.034039,https://inspirehep.net/literature/897700,"On the Origin of Model Relations among Transverse-Momentum Dependent Parton Distributions"
941555,8,3,1110.4973,10.1103/PhysRevD.85.032002,https://inspirehep.net/literature/941555,"Measurement of the Rapidity and Transverse Momentum Distributions of $Z$ Bosons in $pp$ Collisions at $\sqrt{s}=7$ TeV"
663107,8,4,hep-ph/0410375,10.1103/PhysRevD.72.033015,https://inspirehep.net/literature/663107,"Transverse momentum resummation at small x for the Tevatron and CERN LHC"
806077,8,4,0812.4448,10.1016/j.physletb.2009.04.033,https://inspirehep.net/literature/806077,"Determination of strange sea distributions from νN deep inelastic scattering"
819672,8,4,0905.1070,10.1103/PhysRevC.80.024909,https://inspirehep.net/literature/819672,"Systematic Studies of Elliptic Flow Measurements in Au+Au Collisions at s**(1/2) = 200-GeV"
928289,8,4,1109.5141,10.1103/PhysRevD.85.072004,https://inspirehep.net/literature/928289,"Measurement of the inclusive $W^\pm$ and Z/gamma cross sections in the electron and muon decay channels in $pp$ collisions at $\sqrt{s}=7$ TeV with the ATLAS detector"
627142,7,1,"","",https://inspirehep.net/literature/627142,"Transverse spin physics"
799913,7,1,0810.3333,10.1103/PhysRevD.78.114013,https://inspirehep.net/literature/799913,"Accessing tri-gluon correlations in the nucleon via the single spin asymmetry in open charm production"
815957,7,1,0903.3629,10.1103/PhysRevLett.103.172001,https://inspirehep.net/literature/815957,"Testing the Time-Reversal Modified Universality of the Sivers Function"
839169,7,1,0912.1319,10.1103/PhysRevD.81.054020,https://inspirehep.net/literature/839169,"Single transverse spin asymmetry of dilepton production near Z0 pole"
666733,7,2,hep-ph/0412138,10.1103/PhysRevD.71.034009,https://inspirehep.net/literature/666733,"Quark initial state interaction in deep inelastic scattering and the Drell-Yan process"
771527,7,2,0712.4240,10.1103/PhysRevD.77.051502,https://inspirehep.net/literature/771527,"Single spin asymmetries in inclusive hadron production from semiinclusive DIS to hadronic collisions: Universality and phenomenology"
811359,7,2,0901.2966,10.1088/0253-6102/53/2/21,https://inspirehep.net/literature/811359,"Single Transverse Spin Asymmetries at Parton Level"
848042,7,2,1003.1482,10.1016/j.physletb.2010.05.072,https://inspirehep.net/literature/848042,"Gauge invariance, causality and gluonic poles"
894457,7,2,1103.5977,10.1103/PhysRevD.83.114044,https://inspirehep.net/literature/894457,"Naive time-reversal odd phenomena in semi-inclusive deep-inelastic scattering from light-cone constituent quark models"
929863,7,2,1109.6293,10.1103/PhysRevD.85.045003,https://inspirehep.net/literature/929863,"On the linearly polarized gluon distributions in the color dipole model"
1088823,7,2,1202.2554,10.1140/epjc/s10052-012-1945-x,https://inspirehep.net/literature/1088823,"Study of High-pT Charged Particle Suppression in PbPb Compared to $pp$ Collisions at $\sqrt{s_{NN}}=2.76$ TeV"
805340,7,3,0812.2862,10.1016/j.nuclphysb.2009.02.014,https://inspirehep.net/literature/805340,"Transverse-momentum resummation: A Perturbative study of Z production at the Tevatron"
861204,7,3,1007.2351,10.1016/j.physletb.2010.12.024,https://inspirehep.net/literature/861204,"Production of Drell-Yan lepton pairs in hadron collisions: Transverse-momentum resummation at next-to-next-to-leading logarithmic accuracy"
882024,7,3,1012.5296,10.1103/PhysRevD.83.054025,https://inspirehep.net/literature/882024,"The relation between TMDs and PDFs in the covariant parton model approach"
913470,7,3,1106.2293,10.1016/j.physletb.2011.09.044,https://inspirehep.net/literature/913470,"Precise measurements of beam spin asymmetries in semi-inclusive $\pi^0$ production"
779326,7,4,0802.1792,10.1103/PhysRevD.78.015012,https://inspirehep.net/literature/779326,"Searching for Extra Z-prime from Strings and Other Models at the LHC with Leptoproduction"
825630,7,4,0907.2357,10.1103/PhysRevD.80.094004,https://inspirehep.net/literature/825630,"PDF Nuclear Corrections for Charged and Neutral Current Processes"
878863,7,4,1011.5773,10.1016/j.physletb.2011.01.013,https://inspirehep.net/literature/878863,"Collective flow and long-range correlations in relativistic heavy ion collisions"
1088724,7,4,1202.2281,10.1103/PhysRevD.86.054009,https://inspirehep.net/literature/1088724,"Parton Distribution Functions and Benchmark Cross Sections at NNLO"
614451,6,1,hep-ph/0303021,10.1016/j.physletb.2003.05.007,https://inspirehep.net/literature/614451,"Full transverse momentum spectra of low mass Drell-Yan pairs at LHC energies"
700210,6,2,hep-ph/0512137,10.1143/PTP.115.667,https://inspirehep.net/literature/700210,"The Dilepton Q(T) spectrum in transversely polarized Drell-Yan process in QCD"
797836,6,2,0809.4811,10.1088/1126-6708/2008/11/090,https://inspirehep.net/literature/797836,"Partonic State and Single Transverse Spin Asymmetry in Drell-Yan Process"
811675,6,2,0901.3601,10.1016/j.physletb.2009.06.041,https://inspirehep.net/literature/811675,"Drell-Yan Lepton Pair Azimuthal Asymmetry in Hadronic Processes"
816394,6,2,0903.4680,10.1103/PhysRevLett.103.052001,https://inspirehep.net/literature/816394,"Collins Fragmentation and the Single Transverse Spin Asymmetry"
846839,6,2,1002.4666,10.1103/RevModPhys.82.2991,https://inspirehep.net/literature/846839,"Distribution Functions of the Nucleon and Pion in the Valence Region"
856126,6,2,1005.4060,10.1103/PhysRevLett.106.032001,https://inspirehep.net/literature/856126,"The Beam Thrust Cross Section for Drell-Yan at NNLL Order"
862264,6,2,1007.3773,10.1103/PhysRevD.83.053007,https://inspirehep.net/literature/862264,"Transverse Momentum Distributions from Effective Field Theory with Numerical Results"
870935,6,2,1009.4864,10.1103/PhysRevD.82.112008,https://inspirehep.net/literature/870935,"Measurement of Transverse Single-Spin Asymmetries for $J/\psi$ Production in Polarized $p+p$ Collisions at $\sqrt{s} = 200$ GeV"
889546,6,2,1102.2696,10.1103/PhysRevLett.106.172002,https://inspirehep.net/literature/889546,"Measurement of Dijet Azimuthal Decorrelations in $pp$ Collisions at $\sqrt{s}=7$ TeV"
901427,6,2,1105.5171,10.1103/PhysRevD.84.094014,https://inspirehep.net/literature/901427,"An Exclusive Soft Function for Drell-Yan at Next-to-Next-to-Leading Order"
902298,6,2,1106.0266,10.1103/PhysRevLett.107.152002,https://inspirehep.net/literature/902298,"QCD Resummation for Single Spin Asymmetries"
920222,6,2,1107.5294,10.1007/JHEP10(2011)021,https://inspirehep.net/literature/920222,"Bessel-Weighted Asymmetries in Semi Inclusive Deep Inelastic Scattering"
866728,6,3,1008.5322,10.1103/PhysRevD.83.074008,https://inspirehep.net/literature/866728,"Semiinclusive DIS cross sections and spin asymmetries in the quantum statistical parton distributions approach"
879389,6,3,1012.0836,10.1016/j.nuclphysb.2011.03.017,https://inspirehep.net/literature/879389,"Reweighting NNPDFs: the W lepton asymmetry"
1082012,6,3,1112.4423,10.1103/PhysRevLett.108.242003,https://inspirehep.net/literature/1082012,"Calculation of TMD Evolution for Transverse Single Spin Asymmetry Measurements"
1126143,6,3,1208.1281,10.1140/epjc/s10052-013-2636-y,https://inspirehep.net/literature/1126143,"Model-Independent Evolution of Transverse Momentum Dependent Distribution Functions (TMDs) at NNLL"
745992,6,4,nucl-th/0703019,10.1103/PhysRevC.76.041902,https://inspirehep.net/literature/745992,"Jet modification in three dimensional fluid dynamics at next-to-leading twist"
830113,6,4,0909.0268,10.1103/PhysRevD.81.074010,https://inspirehep.net/literature/830113,"Experimental consistency in parton distribution fitting"
878904,6,4,1012.0286,10.1103/PhysRevLett.106.122301,https://inspirehep.net/literature/878904,"Nuclear Corrections in Neutrino-Nucleus DIS and Their Compatibility with Global NPDF Analyses"
882534,6,4,1012.5382,10.1016/j.physletb.2011.03.012,https://inspirehep.net/literature/882534,"Measurement of the production cross section for W-bosons in association with jets in $pp$ collisions at $\sqrt{s}=7$ TeV with the ATLAS detector"
921788,6,4,1108.0566,10.1007/JHEP10(2011)007,https://inspirehep.net/literature/921788,"Measurement of the Drell-Yan Cross Section in $pp$ Collisions at $\sqrt{s}=7$ TeV"
645925,5,1,hep-ph/0403089,10.1088/0954-3899/30/8/019,https://inspirehep.net/literature/645925,"Jet tomography"
707752,5,1,hep-ph/0604226,"",https://inspirehep.net/literature/707752,"Single spin asymmetries and gauge invariance in hard scattering processes"
847380,5,1,1003.0482,10.1103/PhysRevLett.105.062001,https://inspirehep.net/literature/847380,"Non-Universality of Transverse Momentum Dependent Parton Distributions at Small-x"
708136,5,2,hep-ph/0601048,10.1016/j.physletb.2006.02.058,https://inspirehep.net/literature/708136,"Borel resummation of soft gluon radiation and higher twists"
725504,5,2,hep-ph/0609066,10.1103/PhysRevD.76.074015,https://inspirehep.net/literature/725504,"Drell-Yan production and Lam-Tung relation in the color glass condensate formalism"
760564,5,2,0709.1752,10.1143/PTP.118.581,https://inspirehep.net/literature/760564,"Transversely Polarized Drell-Yan Process and Soft Gluon Resummation in QCD"
776567,5,2,0801.0026,10.1016/j.physletb.2008.02.056,https://inspirehep.net/literature/776567,"Double-spin asymmetries for small-Q(T) Drell-Yan pair production in transversely polarized p anti-p collisions"
785192,5,2,0805.1049,10.1088/1126-6708/2008/10/113,https://inspirehep.net/literature/785192,"Angular correlations in multi-jet final states from k-perpendicular - dependent parton showers"
801368,5,2,0811.0224,10.1016/j.physletb.2009.04.071,https://inspirehep.net/literature/801368,"Partonic State and Single Transverse Spin Asymmetries in Semi Inclusive DIS"
836174,5,2,0911.1031,"",https://inspirehep.net/literature/836174,"Understanding the evolution of transverse-momentum dependent parton densities"
852080,5,2,1004.2489,10.1103/PhysRevLett.105.092002,https://inspirehep.net/literature/852080,"N-Jettiness: An Inclusive Event Shape to Veto Jets"
857993,5,2,1006.2144,10.1007/JHEP09(2010)084,https://inspirehep.net/literature/857993,"Giant QCD K-factors beyond NLO"
872641,5,2,1010.1934,10.22323/1.119.0053,https://inspirehep.net/literature/872641,"Role and Properties of Wilson Lines in Transverse-Momentum-Dependent Parton Distribution Functions"
894312,5,2,1103.5699,10.1103/PhysRevLett.106.241801,https://inspirehep.net/literature/894312,"First Measurement of the Angular Coefficients of Drell-Yan $e^{+}e^{-}$ pairs in the Z Mass Region from $p\bar{p}$ Collisions at $\sqrt{s}$ = 1.96 TeV"
725660,5,3,hep-ph/0609080,10.1103/PhysRevD.74.094008,https://inspirehep.net/literature/725660,"Single-Spin Observables and Orbital Structures in Hadronic Distributions"
745149,5,3,hep-ph/0702244,10.1088/1126-6708/2007/08/030,https://inspirehep.net/literature/745149,"NNLO Logarithmic Expansions and Precise Determinations of the Neutral Currents near the Z Resonance at the LHC: The Drell-Yan case"
748795,5,3,0704.2292,10.1103/PhysRevD.75.094012,https://inspirehep.net/literature/748795,"Double transverse spin asymmetry in the p up anti-p up Drell-Yan process from Sivers functions"
852545,5,3,1004.3653,10.1007/JHEP06(2010)094,https://inspirehep.net/literature/852545,"Calculation of the quark and gluon form factors to three loops in QCD"
879362,5,3,1011.5247,"",https://inspirehep.net/literature/879362,"Parton distributions at the dawn of the LHC"
1089398,5,3,1202.3794,10.1103/PhysRevD.85.114009,https://inspirehep.net/literature/1089398,"A QCD Analysis of Double Parton Scattering: Color Correlations, Interference Effects and Evolution"
